Lat,Lon,Area
29.152412,48.083767,"Ahmadi, Hadiya, Block 2"
29.147064,48.094658,"Ahmadi, Hadiya, Block 3"
29.146154,48.087465,"Ahmadi, Hadiya, Block 4"
29.138015,48.094898,"Ahmadi, Hadiya, Block 5"
29.177704,48.087539,"Ahmadi, Jaber Al-Ali, Block 1"
29.175638,48.076438,"Ahmadi, Jaber Al-Ali, Block 2"
29.16636,48.076539,"Ahmadi, Jaber Al-Ali, Block 3"
29.163045,48.081858,"Ahmadi, Jaber Al-Ali, Block 4"
29.157763,48.081816,"Ahmadi, Jaber Al-Ali, Block 5"
29.161767,48.089243,"Ahmadi, Jaber Al-Ali, Block 6"
29.17057,48.088859,"Ahmadi, Jaber Al-Ali, Block 7"
29.170509,48.082015,"Ahmadi, Jaber Al-Ali, Block 8"
28.703034,47.926638,"Ahmadi, Janobyia Aljawakheer, Block 1"
28.702736,47.939383,"Ahmadi, Janobyia Aljawakheer, Block 2"
28.714,47.939716,"Ahmadi, Janobyia Aljawakheer, Block 3"
28.714314,47.926951,"Ahmadi, Janobyia Aljawakheer, Block 4"
29.057843,47.799178,"Ahmadi, kabd Agricultural, Block 1"
28.668066,48.285353,"Ahmadi, Khiran City, Block 2"
28.658982,48.278312,"Ahmadi, Khiran City, Block 3"
28.666013,48.278929,"Ahmadi, Khiran City, Block 7"
29.143299,48.045731,"Ahmadi, Magwa, Block 1"
29.147906,48.115777,"Ahmadi, Mahboula, Block 1"
29.152441,48.12121,"Ahmadi, Mahboula, Block 2"
29.141654,48.125036,"Ahmadi, Mahboula, Block 3"
29.146743,48.128809,"Ahmadi, Mahboula, Block 4"
29.113666,48.128999,"Ahmadi, Mangaf, Block 1"
29.112659,48.12038,"Ahmadi, Mangaf, Block 2"
29.097479,48.122075,"Ahmadi, Mangaf, Block 3"
29.100693,48.131702,"Ahmadi, Mangaf, Block 4"
29.108888,48.136943,"Ahmadi, Mangaf, Block 5"
29.089892,48.068163,"Ahmadi, Middle of Ahmadi, Block 10"
29.093221,48.06754,"Ahmadi, Middle of Ahmadi, Block 11"
29.090733,48.081375,"Ahmadi, Middle of Ahmadi, Block 12"
29.092055,48.053305,"Ahmadi, Middle of Ahmadi, Block 9"
28.977687,48.09198,"Ahmadi, Mina Abdulla, Block 1"
29.005404,48.14921,"Ahmadi, Mina Abdullah Refinery, Block 1"
29.055007,48.122487,"Ahmadi, Mina Al-Ahmadi Refinery, Block 1"
28.610861,48.007537,"Ahmadi, New Wafra, Block 1"
28.613893,48.014771,"Ahmadi, New Wafra, Block 2"
28.606438,48.017666,"Ahmadi, New Wafra, Block 3"
28.603393,48.010464,"Ahmadi, New Wafra, Block 4"
28.614851,48.027369,"Ahmadi, New Wafra, Block 5"
28.602058,48.033022,"Ahmadi, New Wafra, Block 6"
28.595345,48.019908,"Ahmadi, New Wafra, Block 7"
28.606229,48.019651,"Ahmadi, New Wafra, Block 8"
29.100686,48.054862,"Ahmadi, North Ahmadi, Block 13"
29.09695,48.064285,"Ahmadi, North Ahmadi, Block 14"
29.101718,48.072531,"Ahmadi, North Ahmadi, Block 15"
29.105958,48.065232,"Ahmadi, North Ahmadi, Block 16"
29.107642,48.06789,"Ahmadi, North Ahmadi, Block 17"
29.172089,47.839504,"Ahmadi, Rajim Khashman, Block 1"
29.1829,47.814722,"Ahmadi, Rajim Khashman, Block 1"
29.135457,47.80613,"Ahmadi, Rajim Khashman, Block 2"
29.145487,47.818441,"Ahmadi, Rajim Khashman, Block 3"
29.13539,47.818217,"Ahmadi, Rajim Khashman, Block 4"
29.140987,47.824983,"Ahmadi, Rajim Khashman, Block 5"
29.155727,48.107594,"Ahmadi, Riqqa, Block 1"
29.154612,48.099901,"Ahmadi, Riqqa, Block 2"
29.147871,48.109341,"Ahmadi, Riqqa, Block 3"
29.146734,48.104051,"Ahmadi, Riqqa, Block 4"
29.146753,48.100321,"Ahmadi, Riqqa, Block 5"
29.140192,48.110874,"Ahmadi, Riqqa, Block 6"
29.1389,48.10486,"Ahmadi, Riqqa, Block 7"
28.80392,48.05207,"Ahmadi, Sabah Al-Ahmad 1, Block 1"
28.80935,48.055802,"Ahmadi, Sabah Al-Ahmad 1, Block 2"
28.80302,48.069205,"Ahmadi, Sabah Al-Ahmad 1, Block 3"
28.797375,48.075699,"Ahmadi, Sabah Al-Ahmad 1, Block 4"
28.79427,48.067915,"Ahmadi, Sabah Al-Ahmad 1, Block 5"
28.800501,48.064059,"Ahmadi, Sabah Al-Ahmad 1, Block 6"
28.799076,48.04872,"Ahmadi, Sabah Al-Ahmad 2, Block 1"
28.793944,48.059718,"Ahmadi, Sabah Al-Ahmad 2, Block 2"
28.787843,48.061167,"Ahmadi, Sabah Al-Ahmad 2, Block 3"
28.787412,48.051779,"Ahmadi, Sabah Al-Ahmad 2, Block 4"
28.794145,48.042621,"Ahmadi, Sabah Al-Ahmad 2, Block 5"
28.791812,48.05111,"Ahmadi, Sabah Al-Ahmad 2, Block 6"
28.784879,48.036766,"Ahmadi, Sabah Al-Ahmad 3, Block 1"
28.782453,48.045334,"Ahmadi, Sabah Al-Ahmad 3, Block 2"
28.771142,48.037763,"Ahmadi, Sabah Al-Ahmad 3, Block 3"
28.774,48.031404,"Ahmadi, Sabah Al-Ahmad 3, Block 4"
28.782124,48.04069,"Ahmadi, Sabah Al-Ahmad 3, Block 5"
28.766837,48.078402,"Ahmadi, Sabah Al-Ahmad 4, Block 1"
28.761107,48.07312,"Ahmadi, Sabah Al-Ahmad 4, Block 2"
28.766298,48.061008,"Ahmadi, Sabah Al-Ahmad 4, Block 3"
28.773518,48.058447,"Ahmadi, Sabah Al-Ahmad 4, Block 4"
28.774383,48.067638,"Ahmadi, Sabah Al-Ahmad 4, Block 5"
28.768777,48.069252,"Ahmadi, Sabah Al-Ahmad 4, Block 6"
28.77882,48.075856,"Ahmadi, Sabah Al-Ahmad 5, Block 1"
28.791042,48.086368,"Ahmadi, Sabah Al-Ahmad 5, Block 2"
28.788189,48.092175,"Ahmadi, Sabah Al-Ahmad 5, Block 3"
28.775113,48.084706,"Ahmadi, Sabah Al-Ahmad 5, Block 4"
28.778523,48.081297,"Ahmadi, Sabah Al-Ahmad 5, Block 5"
28.76353,48.059586,"Ahmadi, Sabah Al-Ahmad 6, Block 1"
28.760769,48.058533,"Ahmadi, Sabah Al-Ahmad 6, Block 2"
28.757799,48.058368,"Ahmadi, Sabah Al-Ahmad 6, Block 3"
28.659468,48.369558,"Ahmadi, Sabah Al-Ahmad Al-marine, Block 1"
28.685625,48.369248,"Ahmadi, Sabah Al-Ahmad Al-marine, Block 2"
28.653213,48.339729,"Ahmadi, Sabah Al-Ahmad Al-marine, Block 3"
28.666149,48.320942,"Ahmadi, Sabah Al-Ahmad Al-marine, Block 3"
28.622955,48.353616,"Ahmadi, Sabah Al-Ahmad Al-marine, Block 4"
28.756754,48.044983,"Ahmadi, Sabah Al-Ahmad Investment, Block 1"
28.752159,48.056495,"Ahmadi, Sabah Al-Ahmad Investment, Block 2"
28.747317,48.068627,"Ahmadi, Sabah Al-Ahmad Investment, Block 3"
28.808542,48.074832,"Ahmadi, Sabah Al-Ahmad Services, Block 1"
28.758162,48.037218,"Ahmadi, Sabah Al-Ahmad Services, Block 10"
28.763395,48.028682,"Ahmadi, Sabah Al-Ahmad Services, Block 11"
28.805212,48.095267,"Ahmadi, Sabah Al-Ahmad Services, Block 2"
28.799937,48.084441,"Ahmadi, Sabah Al-Ahmad Services, Block 3"
28.795619,48.082175,"Ahmadi, Sabah Al-Ahmad Services, Block 4"
28.788554,48.077823,"Ahmadi, Sabah Al-Ahmad Services, Block 5"
28.782567,48.064663,"Ahmadi, Sabah Al-Ahmad Services, Block 6"
28.777169,48.049472,"Ahmadi, Sabah Al-Ahmad Services, Block 7"
28.770269,48.043521,"Ahmadi, Sabah Al-Ahmad Services, Block 8"
28.764546,48.040558,"Ahmadi, Sabah Al-Ahmad Services, Block 9"
29.098604,48.112092,"Ahmadi, Sabahiya, Block 1"
29.0991,48.101381,"Ahmadi, Sabahiya, Block 2"
29.11383,48.099882,"Ahmadi, Sabahiya, Block 3"
29.113485,48.112326,"Ahmadi, Sabahiya, Block 4"
29.106835,48.106793,"Ahmadi, Sabahiya, Block 5"
28.629465,48.383884,"Ahmadi, Shalehat Al-Khiran, Block 1"
28.56162,48.408912,"Ahmadi, Shalehat Al-Nuwaiseeb, Block 1"
28.816979,48.275896,"Ahmadi, Shalehat Bneder, Block 1"
28.921196,48.207237,"Ahmadi, Shalehat Dba'ayeh, Block 1"
28.88362,48.263067,"Ahmadi, Shalehat Jlea'a, Block 1"
28.967685,48.172609,"Ahmadi, Shalehat Mina Abdullah, Block 1"
28.674297,48.384262,"Ahmadi, Shalehat Zoor, Block 1"
29.041686,48.121539,"Ahmadi, Shuaiba Industrial esterly, Block 1"
29.038576,48.153019,"Ahmadi, Shuaiba Industrial esterly, Block 10"
29.04506,48.15572,"Ahmadi, Shuaiba Industrial esterly, Block 11"
29.032939,48.123843,"Ahmadi, Shuaiba Industrial esterly, Block 2"
29.02263,48.137421,"Ahmadi, Shuaiba Industrial esterly, Block 3"
29.027656,48.138979,"Ahmadi, Shuaiba Industrial esterly, Block 4"
29.033777,48.138818,"Ahmadi, Shuaiba Industrial esterly, Block 5"
29.041434,48.134601,"Ahmadi, Shuaiba Industrial esterly, Block 6"
29.041568,48.145944,"Ahmadi, Shuaiba Industrial esterly, Block 7"
29.022045,48.154503,"Ahmadi, Shuaiba Industrial esterly, Block 8"
29.03091,48.153759,"Ahmadi, Shuaiba Industrial esterly, Block 9"
29.003807,48.131478,"Ahmadi, Shuaiba Industrial Western, Block 1"
28.971419,48.119621,"Ahmadi, Shuaiba Industrial Western, Block 10"
29.019234,48.102452,"Ahmadi, Shuaiba Industrial Western, Block 11"
28.99956,48.105256,"Ahmadi, Shuaiba Industrial Western, Block 12"
28.990034,48.108667,"Ahmadi, Shuaiba Industrial Western, Block 13"
28.997633,48.134247,"Ahmadi, Shuaiba Industrial Western, Block 2"
28.993101,48.132985,"Ahmadi, Shuaiba Industrial Western, Block 3"
28.988931,48.131301,"Ahmadi, Shuaiba Industrial Western, Block 4"
28.980914,48.128854,"Ahmadi, Shuaiba Industrial Western, Block 5"
29.020062,48.118661,"Ahmadi, Shuaiba Industrial Western, Block 6"
29.000123,48.119668,"Ahmadi, Shuaiba Industrial Western, Block 7"
28.991075,48.119467,"Ahmadi, Shuaiba Industrial Western, Block 8"
28.982704,48.11615,"Ahmadi, Shuaiba Industrial Western, Block 9"
29.219032,47.893155,"Ahmadi, South Abdullah Al-Mubarak, Block 1"
29.216301,47.898791,"Ahmadi, South Abdullah Al-Mubarak, Block 2"
29.210904,47.902322,"Ahmadi, South Abdullah Al-Mubarak, Block 3"
29.208262,47.896579,"Ahmadi, South Abdullah Al-Mubarak, Block 4"
29.205872,47.889962,"Ahmadi, South Abdullah Al-Mubarak, Block 5"
29.199352,47.891053,"Ahmadi, South Abdullah Al-Mubarak, Block 6"
29.083246,48.063795,"Ahmadi, South Ahmadi, Block 1"
29.079304,48.068411,"Ahmadi, South Ahmadi, Block 4"
29.08538,48.071012,"Ahmadi, South Ahmadi, Block 6"
29.086799,48.063768,"Ahmadi, South Ahmadi, Block 7"
29.075199,48.059784,"Ahmadi, South Ahmadi, Block 8"
29.078406,48.105973,"Ahmadi, South-Sabahiya, Block 1"
29.209152,47.829893,"Ahmadi, Sulaibyia Industrial 3, Block 1"
28.602481,47.897403,"Ahmadi, Wafra, Block 1"
28.587803,47.991952,"Ahmadi, Wafra Farms, Block 1"
28.611996,48.085499,"Ahmadi, Wafra Farms, Block 10"
28.591356,48.088521,"Ahmadi, Wafra Farms, Block 10"
28.592546,48.081833,"Ahmadi, Wafra Farms, Block 10"
28.611602,48.050046,"Ahmadi, Wafra Farms, Block 11"
28.662757,48.163026,"Ahmadi, Wafra Farms, Block 12"
28.632879,48.189952,"Ahmadi, Wafra Farms, Block 13"
28.571564,48.059029,"Ahmadi, Wafra Farms, Block 2"
28.553907,48.062819,"Ahmadi, Wafra Farms, Block 3"
28.538531,48.048382,"Ahmadi, Wafra Farms, Block 4"
28.545523,48.167094,"Ahmadi, Wafra Farms, Block 5"
28.560704,48.27086,"Ahmadi, Wafra Farms, Block 6"
28.602832,48.243315,"Ahmadi, Wafra Farms, Block 7"
28.607729,48.159439,"Ahmadi, Wafra Farms, Block 8"
28.609242,48.123665,"Ahmadi, Wafra Farms, Block 9"
28.716332,48.334625,"Ahmadi, Zoor, Block 1"
29.356752,47.98143,"Asma, Abdulla Al-Salem, Block 1"
29.351995,47.989329,"Asma, Abdulla Al-Salem, Block 2"
29.349578,47.982909,"Asma, Abdulla Al-Salem, Block 3"
29.34873,47.976026,"Asma, Abdulla Al-Salem, Block 4"
29.328955,47.976362,"Asma, Adailiya, Block 1"
29.322291,47.978194,"Asma, Adailiya, Block 2"
29.323527,47.987241,"Asma, Adailiya, Block 3"
29.33044,47.984838,"Asma, Adailiya, Block 4"
29.360092,47.969877,"Asma, Al Sour Gardens, Block 1"
29.360694,47.980186,"Asma, Al Sour Gardens, Block 2"
29.363856,47.988808,"Asma, Al Sour Gardens, Block 3"
29.369929,47.993835,"Asma, Al Sour Gardens, Block 4"
29.377898,48.439967,"Asma, Auha Island, Block 1"
29.370484,48.00687,"Asma, Bnaid Al-Qar, Block 1"
29.375314,48.000731,"Asma, Bnaid Al-Qar, Block 2"
29.379675,48.000124,"Asma, Bnaid Al-Qar, Block 3"
29.356044,48.007709,"Asma, Daiya, Block 1"
29.361033,48.010321,"Asma, Daiya, Block 2"
29.353666,48.01309,"Asma, Daiya, Block 3"
29.358876,48.015836,"Asma, Daiya, Block 4"
29.363882,48.01827,"Asma, Daiya, Block 5"
29.366364,47.996275,"Asma, Dasma, Block 1"
29.370737,47.997842,"Asma, Dasma, Block 2"
29.362764,47.998748,"Asma, Dasma, Block 3"
29.367791,48.002691,"Asma, Dasma, Block 4"
29.360388,48.003655,"Asma, Dasma, Block 5"
29.364567,48.006086,"Asma, Dasma, Block 6"
29.38943,47.996326,"Asma, Dasman, Block 1"
29.385906,47.998399,"Asma, Dasman, Block 2"
29.384117,48.000727,"Asma, Dasman, Block 3"
29.317579,47.826651,"Asma, Doha, Block 1"
29.315548,47.8214,"Asma, Doha, Block 2"
29.31562,47.814998,"Asma, Doha, Block 3"
29.320113,47.796794,"Asma, Doha, Block 4"
29.315653,47.818165,"Asma, Doha, Block 5"
29.341921,47.97408,"Asma, Faiha, Block 1"
29.342587,47.977881,"Asma, Faiha, Block 2"
29.343484,47.98182,"Asma, Faiha, Block 3"
29.337997,47.974163,"Asma, Faiha, Block 4"
29.338723,47.978668,"Asma, Faiha, Block 5"
29.339765,47.983025,"Asma, Faiha, Block 6"
29.334029,47.97421,"Asma, Faiha, Block 7"
29.33481,47.979432,"Asma, Faiha, Block 8"
29.335929,47.984278,"Asma, Faiha, Block 9"
29.434445,48.333806,"Asma, Failaka Island, Block 1"
29.312988,47.880938,"Asma, Ghornata, Block 1"
29.312336,47.875081,"Asma, Ghornata, Block 2"
29.31338,47.866858,"Asma, Ghornata, Block 3"
29.323341,47.895062,"Asma, Health Area, Block 1"
29.331329,47.777829,"Asma, Jaber Al-Ahmad, Block 1"
29.337378,47.765855,"Asma, Jaber Al-Ahmad, Block 2"
29.343843,47.773309,"Asma, Jaber Al-Ahmad, Block 3"
29.339041,47.751946,"Asma, Jaber Al-Ahmad, Block 4"
29.348233,47.743503,"Asma, Jaber Al-Ahmad, Block 5"
29.353884,47.757848,"Asma, Jaber Al-Ahmad, Block 6"
29.354008,47.773169,"Asma, Jaber Al-Ahmad, Block 7"
29.329264,47.958231,"Asma, Khaldiya, Block 1"
29.329424,47.966818,"Asma, Khaldiya, Block 2"
29.322433,47.96878,"Asma, Khaldiya, Block 3"
29.32085,47.96222,"Asma, Khaldiya, Block 4"
29.339473,47.968413,"Asma, Kifan, Block 1"
29.341869,47.964449,"Asma, Kifan, Block 2"
29.344969,47.957877,"Asma, Kifan, Block 3"
29.33432,47.966748,"Asma, Kifan, Block 4"
29.341175,47.955735,"Asma, Kifan, Block 5"
29.33805,47.951865,"Asma, Kifan, Block 6"
29.335723,47.959813,"Asma, Kifan, Block 7"
29.071613,48.492311,"Asma, Kubbar Island, Block 1"
29.360856,47.991717,"Asma, Mansouriya, Block 1"
29.356074,47.996315,"Asma, Mansouriya, Block 2"
29.359766,47.803663,"Asma, Mina Doha, Block 1"
29.364855,47.979006,"Asma, Mirqab, Block 1"
29.367638,47.984629,"Asma, Mirqab, Block 2"
29.37161,47.989172,"Asma, Mirqab, Block 3"
29.485754,48.251608,"Asma, Mischan Island, Block 1"
29.315036,47.908913,"Asma, Mubarakiya Camps, Block 1"
29.323737,47.808882,"Asma, Northwest Sulaibikhat, Block 1"
29.331298,47.806067,"Asma, Northwest Sulaibikhat, Block 2"
29.327838,47.818093,"Asma, Northwest Sulaibikhat, Block 3"
29.345616,47.993308,"Asma, Nuzha, Block 1"
29.342909,47.987571,"Asma, Nuzha, Block 2"
29.339167,47.993245,"Asma, Nuzha, Block 3"
29.349647,47.996642,"Asma, Qadsiya, Block 1"
29.351882,47.999893,"Asma, Qadsiya, Block 2"
29.354434,48.00334,"Asma, Qadsiya, Block 3"
29.346503,47.999015,"Asma, Qadsiya, Block 4"
29.348974,48.002525,"Asma, Qadsiya, Block 5"
29.351816,48.006331,"Asma, Qadsiya, Block 6"
29.343262,48.001485,"Asma, Qadsiya, Block 7"
29.345908,48.005339,"Asma, Qadsiya, Block 8"
29.349053,48.009569,"Asma, Qadsiya, Block 9"
28.814622,48.758952,"Asma, Qaruh Island, Block 1"
29.376564,47.970145,"Asma, Qibla, Block 1"
29.369889,47.97596,"Asma, Qibla, Block 10"
29.368472,47.972093,"Asma, Qibla, Block 11"
29.366879,47.968692,"Asma, Qibla, Block 12"
29.363532,47.969748,"Asma, Qibla, Block 13"
29.364269,47.962557,"Asma, Qibla, Block 14"
29.370924,47.96645,"Asma, Qibla, Block 15"
29.37808,47.972765,"Asma, Qibla, Block 2"
29.374208,47.970824,"Asma, Qibla, Block 3"
29.375141,47.972958,"Asma, Qibla, Block 4"
29.376622,47.974691,"Asma, Qibla, Block 5"
29.371385,47.971266,"Asma, Qibla, Block 6"
29.373167,47.973599,"Asma, Qibla, Block 7"
29.374683,47.975652,"Asma, Qibla, Block 8"
29.372612,47.978651,"Asma, Qibla, Block 9"
29.317297,47.988947,"Asma, Qortuba, Block 1"
29.309684,47.993362,"Asma, Qortuba, Block 2"
29.307147,47.983675,"Asma, Qortuba, Block 3"
29.314485,47.979845,"Asma, Qortuba, Block 4"
29.312261,47.986342,"Asma, Qortuba, Block 5"
29.325346,47.994663,"Asma, Rawda, Block 1"
29.325665,48.000011,"Asma, Rawda, Block 2"
29.32604,48.006066,"Asma, Rawda, Block 3"
29.334679,48.000524,"Asma, Rawda, Block 4"
29.332839,47.993077,"Asma, Rawda, Block 5"
29.371003,47.76144,"Asma, Shalehat Doha, Block 1"
29.357575,47.964404,"Asma, Shamiya, Block 1"
29.357126,47.967251,"Asma, Shamiya, Block 10"
29.357254,47.971455,"Asma, Shamiya, Block 2"
29.353284,47.962734,"Asma, Shamiya, Block 3"
29.353539,47.967052,"Asma, Shamiya, Block 4"
29.35233,47.970693,"Asma, Shamiya, Block 5"
29.350603,47.966106,"Asma, Shamiya, Block 6"
29.349059,47.960099,"Asma, Shamiya, Block 7"
29.346997,47.965149,"Asma, Shamiya, Block 8"
29.346417,47.970294,"Asma, Shamiya, Block 9"
29.380662,47.978155,"Asma, Sharq, Block 1"
29.384501,47.98443,"Asma, Sharq, Block 2"
29.387545,47.990754,"Asma, Sharq, Block 3"
29.382747,47.99221,"Asma, Sharq, Block 4"
29.37951,47.987557,"Asma, Sharq, Block 5"
29.376099,47.982161,"Asma, Sharq, Block 6"
29.376369,47.990798,"Asma, Sharq, Block 7"
29.379351,47.995125,"Asma, Sharq, Block 8"
29.357804,47.960749,"Asma, Shuwaikh, Block 1"
29.35461,47.959075,"Asma, Shuwaikh, Block 2"
29.356681,47.956895,"Asma, Shuwaikh, Block 3"
29.351819,47.956282,"Asma, Shuwaikh, Block 4"
29.354519,47.953703,"Asma, Shuwaikh, Block 5"
29.348227,47.94807,"Asma, Shuwaikh, Block 6"
29.355498,47.947527,"Asma, Shuwaikh, Block 7"
29.360582,47.95687,"Asma, Shuwaikh, Block 8"
29.337085,47.927234,"Asma, Shuwaikh Industrial-1, Block 1"
29.322766,47.948956,"Asma, Shuwaikh Industrial-2, Block 1"
29.326435,47.93082,"Asma, Shuwaikh Industrial-3, Block"
29.31658,47.92967,"Asma, Shuwaikh Industrial-3, Block"
29.318377,47.936392,"Asma, Shuwaikh Industrial-3, Block ?"
29.323859,47.925604,"Asma, Shuwaikh Industrial-3, Block ?"
29.352055,47.918948,"Asma, Shuwaikh Port, Block 1"
29.315536,47.859251,"Asma, Sulaibikhat, Block 1"
29.315153,47.852173,"Asma, Sulaibikhat, Block 2"
29.315998,47.840683,"Asma, Sulaibikhat, Block 3"
29.317191,47.83285,"Asma, Sulaibikhat, Block 4"
29.315248,47.846636,"Asma, Sulaibikhat, Block 5"
29.30391,47.831118,"Asma, Sulaibikhat Cemetery, Block 1"
29.319499,48.010258,"Asma, Surra, Block 1"
29.312258,48.016334,"Asma, Surra, Block 2"
29.310226,48.010859,"Asma, Surra, Block 3"
29.308984,48.003419,"Asma, Surra, Block 4"
29.316369,47.998819,"Asma, Surra, Block 5"
29.317576,48.00485,"Asma, Surra, Block 6"
29.380086,47.990194,"Asma, The Sea Front, Block 1"
28.680474,48.651137,"Asma, Umm Al-Maradim Island, Block 1"
29.381621,47.864659,"Asma, Umm Al-Namel Island, Block 1"
29.314249,47.972321,"Asma, Yarmouk, Block 1"
29.306982,47.974659,"Asma, Yarmouk, Block 2"
29.306906,47.967001,"Asma, Yarmouk, Block 3"
29.313955,47.96509,"Asma, Yarmouk, Block 4"
29.243901,47.920368,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 1"
29.238189,47.91423,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 2"
29.243962,47.909337,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 3"
29.23565,47.907468,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 4"
29.243717,47.899004,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 5"
29.235473,47.901147,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 6"
29.238426,47.894871,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 7"
29.245491,47.888846,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 8"
29.250838,47.882069,"Farwaniya, Abdullah Mubarak Al-Sabah, Block 9"
29.30842,47.878802,"Farwaniya, Andalus, Block 1"
29.300167,47.890922,"Farwaniya, Andalus, Block 10"
29.300282,47.899227,"Farwaniya, Andalus, Block 11"
29.304826,47.896894,"Farwaniya, Andalus, Block 12"
29.299178,47.86716,"Farwaniya, Andalus, Block 13"
29.306734,47.886353,"Farwaniya, Andalus, Block 2"
29.30177,47.883744,"Farwaniya, Andalus, Block 3"
29.298692,47.883269,"Farwaniya, Andalus, Block 4"
29.297892,47.873916,"Farwaniya, Andalus, Block 5"
29.301315,47.874324,"Farwaniya, Andalus, Block 6"
29.306318,47.866988,"Farwaniya, Andalus, Block 7"
29.306813,47.870939,"Farwaniya, Andalus, Block 8"
29.305043,47.878323,"Farwaniya, Andalus, Block 9"
29.293581,47.903988,"Farwaniya, Ardhiya, Block 1"
29.285311,47.888656,"Farwaniya, Ardhiya, Block 10"
29.278957,47.89139,"Farwaniya, Ardhiya, Block 11"
29.293304,47.899354,"Farwaniya, Ardhiya, Block 2"
29.2946,47.889042,"Farwaniya, Ardhiya, Block 3"
29.290815,47.890984,"Farwaniya, Ardhiya, Block 4"
